# obseg - obseg pizze
# itm - indeks telesne mase
# debels - samoocena zadovoljstva s težo
# mascobe - delež maščobnega tkiva v telesu
# lakotas - samoocena lakote
# zadobrok - čas od zadnjega obroka
# saliva - količina izločene sline
obseg itm debels mascobe lakotas zadobrok saliva
63 28 6 21 9 350 3.2
96 25 4 19 10 520 3
66 26 7 21 8 360 3.2
71 24 5 18 6 250 2.6
78 23 4 18 8 410 2.7
64 30 8 21 9 400 3.5
32 29 3 12 4 270 2.7
73 24 10 28 8 460 3.9
46 26 7 22 7 330 3.5
72 20 4 17 8 390 2.7
75 21 1 18 6 350 2
38 28 7 23 4 220 2.6
71 24 5 19 7 280 2.9
74 26 6 21 10 380 2.9
71 27 6 17 9 360 3
83 22 2 15 6 310 2.3
73 27 5 19 9 420 3.7
75 21 3 21 7 420 2.9
90 23 2 19 8 460 3.7
47 32 9 24 8 330 3.7
100 17 3 21 10 510 2.4
70 23 5 22 6 290 2.5
54 20 5 23 6 310 2.5
51 27 9 25 6 310 2.9
69 21 5 12 6 380 2.1
48 28 9 21 8 290 2.9
58 29 5 21 9 360 3
65 26 8 18 7 380 3.7
68 23 5 17 7 300 2.9
84 19 5 15 7 350 2.5
90 20 2 14 6 430 2.4
62 23 6 15 5 350 3
46 31 10 19 8 220 3
69 23 3 16 6 370 2.9
42 27 4 22 5 270 2.9
37 28 7 28 7 400 3.4
66 18 3 13 3 390 2.6
71 23 6 21 7 390 3.3
72 24 5 23 10 400 3.4
53 22 3 17 2 340 2.7
49 24 3 19 5 330 2.8
64 26 7 22 9 350 3
63 23 5 20 5 420 2.7
64 23 3 13 4 280 2.7
100 21 4 17 9 500 3.4
77 25 7 18 6 380 3.9
63 21 4 21 7 380 2.4
91 22 6 20 10 400 3.6
54 24 10 19 5 230 2
58 22 1 21 5 370 2.9
58 23 5 20 5 320 2.9
61 29 5 24 6 380 2.6
43 32 11 26 7 330 3.6
41 29 7 20 6 320 3.4
70 25 5 17 6 400 3.2
57 22 6 16 3 360 2.8
50 25 7 22 7 290 2.5
45 22 1 11 3 360 2.7
71 22 7 15 4 320 2.8
82 26 5 21 10 450 3.1
68 31 8 24 9 350 4
77 25 4 20 7 400 3.6
46 27 5 22 6 390 3.5
36 25 8 26 6 320 2.9
47 23 6 23 4 320 2.4
44 29 5 23 7 320 3.1
68 26 8 27 6 270 3.4
77 22 3 20 6 350 2.9
61 25 7 23 6 300 2.6
52 28 8 20 6 330 4
62 22 4 19 4 330 3.5
21 30 8 22 5 220 3.1
59 30 10 28 9 320 3.4
83 18 6 21 5 280 2.8
54 22 5 19 5 250 2.7
46 26 8 21 5 290 2.4
59 22 8 21 4 240 3
38 26 5 24 4 220 1.9
73 23 4 20 8 360 3.2
49 28 8 19 7 140 3
73 25 4 26 11 400 3.3
68 21 2 21 5 420 2.7
80 26 6 16 6 340 2.9
62 28 7 21 7 300 2.8
72 24 6 21 8 410 3
91 25 5 15 10 490 3.2
51 24 4 22 6 350 2.9
48 23 5 23 5 220 1.9
57 26 6 23 7 410 3.2
60 29 7 22 6 310 3.1
66 24 5 18 7 370 3.2
38 26 7 27 6 300 2.8
61 27 9 23 9 460 4
71 19 5 17 5 400 3.2
53 25 5 19 5 280 3.2
55 24 4 11 5 360 3.1
73 25 6 14 9 360 3.1
67 24 3 23 9 490 3.9
56 27 6 12 6 380 2.9
50 27 3 20 5 400 2.9
50 28 8 24 8 420 3.2
56 20 6 23 7 320 2.7
83 26 6 22 11 510 3.6
73 19 2 18 4 440 3.3
68 25 7 24 8 340 2.7
87 21 4 18 9 560 3.3
50 23 5 16 5 310 3
83 24 6 20 9 480 3
44 28 7 24 7 330 2.9
44 26 4 24 6 340 3.1
51 24 3 13 3 280 2.8
70 20 3 15 9 500 4.5
73 26 5 15 11 530 3.4
32 27 6 29 8 360 3
51 21 4 16 3 250 1.9
72 18 2 17 2 370 2.6
64 21 2 12 3 280 2.4
88 26 4 15 10 500 3.1
64 25 6 24 6 400 2.7
67 24 4 22 6 430 3.3
71 20 5 20 6 290 3
66 27 10 23 7 300 2.8
73 27 5 22 7 270 2.4
73 24 7 19 8 410 3.2
53 25 6 17 5 300 3.2
42 18 3 19 2 320 2.3
60 23 5 21 5 230 2.3
32 29 6 23 6 240 2.1
54 25 9 22 6 400 3.6
75 25 5 19 8 450 3.2
55 21 7 15 4 190 1.9
52 27 9 17 4 200 2.8
69 26 6 24 9 500 4.1
63 24 7 25 7 360 2.7
35 23 6 16 5 250 2.9
65 23 4 17 6 240 2.5
31 26 6 27 3 50 2.1
50 28 8 30 9 370 3.7
58 21 3 18 7 310 2.1
67 22 7 20 5 270 2.8
91 23 5 15 9 490 3.1
64 24 10 29 8 360 3.4
65 22 2 15 8 380 2.8
75 27 6 21 8 400 3.5
